package	own_source_loc_rust	is_binary	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
dev-util/pixi-0.72.1	218524	yes	273	0	273	0	OK	./.upstream-cache/pixi-0.72.1/crates/pixi_install_pypi/src/lib.rs:338:    pub environment_variables_lazy: Option<&'a dyn LazyEnvironmentVariables>,|./.upstream-cache/pixi-0.72.1/crates/pixi_install_pypi/src/lib.rs:348:    Pin<Box<dyn Future<Output = miette::Result<HashMap<String, String>>> + 't>>;|./.upstream-cache/pixi-0.72.1/crates/pixi_compute_engine/src/key_graph.rs:123:    fn as_any(&self) -> &dyn Any;|
dev-util/pixi-0.72.0	217958	yes	273	0	273	0	OK	./.upstream-cache/pixi-0.72.0/crates/pixi_install_pypi/src/lib.rs:338:    pub environment_variables_lazy: Option<&'a dyn LazyEnvironmentVariables>,|./.upstream-cache/pixi-0.72.0/crates/pixi_install_pypi/src/lib.rs:348:    Pin<Box<dyn Future<Output = miette::Result<HashMap<String, String>>> + 't>>;|./.upstream-cache/pixi-0.72.0/crates/pixi_compute_engine/src/key_graph.rs:123:    fn as_any(&self) -> &dyn Any;|
dev-util/pixi-0.71.3	216689	yes	273	0	273	0	OK	./.upstream-cache/pixi-0.71.3/crates/pixi_install_pypi/src/lib.rs:338:    pub environment_variables_lazy: Option<&'a dyn LazyEnvironmentVariables>,|./.upstream-cache/pixi-0.71.3/crates/pixi_install_pypi/src/lib.rs:348:    Pin<Box<dyn Future<Output = miette::Result<HashMap<String, String>>> + 't>>;|./.upstream-cache/pixi-0.71.3/crates/pixi_compute_engine/src/key_graph.rs:123:    fn as_any(&self) -> &dyn Any;|
dev-lang/gleam-1.14.0	199356	yes	29	2875	2904	154	OK	./.upstream-cache/gleam-1.14.0/compiler-cli/src/fs.rs:241:    fn make_locker(&self, paths: &ProjectPaths, target: Target) -> Result<Box<dyn Locker>> {|./.upstream-cache/gleam-1.14.0/compiler-cli/src/build.rs:38:    warnings: Rc<dyn WarningEmitterIO>,|./.upstream-cache/gleam-1.14.0/compiler-cli/src/build.rs:42:    let telemetry: &'static dyn Telemetry = if options.no_print_progress {|
dev-lang/gleam-1.13.0	191171	yes	29	2927	2956	154	OK	./.upstream-cache/gleam-1.13.0/compiler-cli/src/fs.rs:241:    fn make_locker(&self, paths: &ProjectPaths, target: Target) -> Result<Box<dyn Locker>> {|./.upstream-cache/gleam-1.13.0/compiler-cli/src/build.rs:38:    warnings: Rc<dyn WarningEmitterIO>,|./.upstream-cache/gleam-1.13.0/compiler-cli/src/build.rs:42:    let telemetry: &'static dyn Telemetry = if options.no_print_progress {|
app-forensics/yara-x-1.18.0	166685	yes	81	0	81	0	OK	./.upstream-cache/yara-x-1.18.0/ls/src/worker.rs:157:        Closure::<dyn FnMut(MessageEvent)>::new(move |event: MessageEvent| {|./.upstream-cache/yara-x-1.18.0/fmt/src/lib.rs:859:        let tokens: Box<dyn Iterator<Item = Token<'a>>> =|./.upstream-cache/yara-x-1.18.0/fmt/src/lib.rs:866:        let tokens: Box<dyn Iterator<Item = Token<'a>>> =|
app-forensics/yara-x-1.16.0	163929	yes	73	0	73	0	OK	./.upstream-cache/yara-x-1.16.0/proto-json/src/lib.rs:82:    pub fn serialize(&mut self, msg: &dyn MessageDyn) -> Result<(), Error> {|./.upstream-cache/yara-x-1.16.0/ls/src/worker.rs:157:        Closure::<dyn FnMut(MessageEvent)>::new(move |event: MessageEvent| {|./.upstream-cache/yara-x-1.16.0/proto-yaml/src/lib.rs:132:    pub fn serialize(&mut self, msg: &dyn MessageDyn) -> Result<(), Error> {|
app-editors/helix-25.07.1	119132	yes	75	0	75	0	OK	./.upstream-cache/helix-25.07.1/helix-tui/src/widgets/reflow.rs:18:    symbols: &'b mut dyn Iterator<Item = StyledGrapheme<'a>>,|./.upstream-cache/helix-25.07.1/helix-tui/src/widgets/reflow.rs:28:        symbols: &'b mut dyn Iterator<Item = StyledGrapheme<'a>>,|./.upstream-cache/helix-25.07.1/helix-tui/src/widgets/reflow.rs:130:    symbols: &'b mut dyn Iterator<Item = StyledGrapheme<'a>>,|
sys-kernel/scx-1.1.1	114189	yes	77	0	77	0	OK	./.upstream-cache/scx-1.1.1/tools/scxcash/src/main.rs:100:    let mut monitors: Vec<Box<dyn CacheMonitor<'_>>> = Vec::new();|./.upstream-cache/scx-1.1.1/tools/scxcash/src/monitors.rs:54:    fn consume(&mut self, cb: &mut dyn FnMut(CacheMonitorValue)) -> Result<()>;|./.upstream-cache/scx-1.1.1/tools/scxcash/src/monitors.rs:174:    fn consume(&mut self, cb: &mut dyn FnMut(CacheMonitorValue)) -> Result<()> {|
sys-kernel/scx-1.1.0	106067	yes	76	0	76	0	OK	./.upstream-cache/scx-1.1.0/tools/scxcash/src/main.rs:100:    let mut monitors: Vec<Box<dyn CacheMonitor<'_>>> = Vec::new();|./.upstream-cache/scx-1.1.0/tools/scxcash/src/monitors.rs:54:    fn consume(&mut self, cb: &mut dyn FnMut(CacheMonitorValue)) -> Result<()>;|./.upstream-cache/scx-1.1.0/tools/scxcash/src/monitors.rs:174:    fn consume(&mut self, cb: &mut dyn FnMut(CacheMonitorValue)) -> Result<()> {|
